0,0.01
4,0.03
9,0.02
10,0.04
12,0.01
22,0.02
23,0.04
25,0.04
46,0.01
48,0.02
53,0.01
64,0.03
72,0.02
74,0.04
77,0.01
86,0.02
91,0.01
103,0.03
108,0.01
110,0.03
124,0.03
127,0.01
137,0
145,0.02
146,0.01
158,0.03
168,0
169,0
170,0.01
171,0.03
177,0
183,0.01
184,0.01
185,0.03
186,0.03
190,0
199,0.02
208,0.02
209,0.02
217,0.01
222,0.01
230,0.02
231,0.02
244,0.02
250,0.02
262,0.01
275,0.03
280,0
283,0.01
287,0.02
289,0.01
294,0.01
297,0.03
298,0.01
317,0
327,0.02
328,0.03
333,0.02
342,0.01
346,0.03
360,0.02
368,0.02
369,0
375,0.03
378,0.02
383,0
385,0.02
386,0.01
391,0.04
400,0.03
407,0.01
421,0.02
422,0
431,0
437,0.01
442,0.02
445,0.03
450,0
466,0
467,0.03
469,0.01
471,0.02
472,0
473,0.02
475,0.02
482,0.03
484,0.01
493,0
494,0.03
501,0.02
505,0.02
506,0.02
516,0.02
524,0.02
527,0.02
530,0.05
535,0.02
538,0.01
541,0.02
546,0.01
548,0.01
553,0
557,0
559,0.01
560,0.04
569,0.01
579,0.01
587,0.03
588,0.05
589,0.02
590,0.02
594,0.04
599,0.01
600,0.03
614,0
620,0.03
623,0.04
625,0.05
640,0.02
642,0.02
649,0.02
650,0.02
654,0.02
655,0.01
658,0.03
662,0.02
664,0
668,0.03
673,0.04
674,0.01
677,0
687,0.01
691,0.02
695,0.02
697,0.05
699,0.04
707,0.03
708,0
709,0
710,0.01
712,0.02
717,0
718,0.01
729,0
730,0.02
731,0.01
741,0.02
748,0.01
754,0.02
758,0.04
759,0
761,0
765,0.02
783,0.03
789,0.05
796,0
797,0.02
803,0.02
811,0.01
814,0.02
823,0.01
830,0.01
841,0.03
852,0.03
862,0
863,0.01
866,0.01
878,0.02
880,0.02
882,0
893,0
897,0.04
903,0
907,0.01
914,0.01
922,0.02
926,0.02
930,0.04
940,0.01
941,0.03
949,0.01
952,0.04
960,0.02
965,0.01
972,0.02
987,0.01
988,0.01
992,0
1004,0.03
1012,0.04
1017,0.02
1029,0.03
1030,0.01
1046,0.01
1058,0.02
1062,0.04
1065,0.01
1068,0.01
1070,0.02
1078,0.04
1083,0.02
1084,0.03
1087,0
1095,0.03
1107,0.01
1117,0
1131,0.02
1142,0.01
1143,0
1145,0.02
1152,0.02
1156,0.01
1157,0.01
1161,0.02
1164,0.02
1166,0.01
1180,0.02
1182,0.02
1187,0.02
1189,0.02
1192,0
1193,0.02
1199,0.03
1207,0.01
1208,0.04
1211,0.02
1217,0.03
1219,0.01
1226,0.01
1231,0.01
1237,0.01
1247,0.01
1249,0.03
1252,0.02
1256,0.03
1261,0.03
1269,0.01
1280,0.03
1282,0
1283,0
1285,0.03
1295,0.02
1302,0.01
1309,0.03
1313,0.03
1315,0.02
1320,0
1327,0.01
1335,0.04
1336,0.02
1341,0.02
1344,0.01
1346,0.02
1347,0.03
1364,0.02
1365,0.01
1379,0.01
1380,0.01
1382,0
1391,0.01
1399,0.01
1405,0.02
1406,0.02
1407,0.02
1414,0.02
1424,0.02
1436,0.03
1438,0.03
1450,0.01
1457,0.02
1459,0.01
1464,0.02
1478,0.01
1480,0.03
1481,0
1489,0.01
1491,0.02
1496,0.01
1502,0.01
1506,0.04
1508,0.03
1511,0.01
1515,0.01
1516,0.01
